Time,device,humidity,temperature,Target
"April 30, 2023 at 01:06AM",Sensor_data,64,28,cool_and_humid
"April 30, 2023 at 01:21AM",Sensor_data,65,28,cool_and_humid
"April 30, 2023 at 01:36AM",Sensor_data,66,28,cool_and_humid
"April 30, 2023 at 01:51AM",Sensor_data,66,28,cool_and_humid
"April 30, 2023 at 02:06AM",Sensor_data,66,28,cool_and_humid
"April 30, 2023 at 02:21AM",Sensor_data,66,28,cool_and_humid
"April 30, 2023 at 02:36AM",Sensor_data,67,28,cool_and_humid
"April 30, 2023 at 02:51AM",Sensor_data,66,28,cool_and_humid
"April 30, 2023 at 03:06AM",Sensor_data,67,28,cool_and_humid
"April 30, 2023 at 03:21AM",Sensor_data,67,28,cool_and_humid
"April 30, 2023 at 03:36AM",Sensor_data,67,28,cool_and_humid
"April 30, 2023 at 03:51AM",Sensor_data,69,27,cool_and_humid
"April 30, 2023 at 04:06AM",Sensor_data,78,26,cool_and_humid
"April 30, 2023 at 04:21AM",Sensor_data,78,26,cool_and_humid
"April 30, 2023 at 04:37AM",Sensor_data,77,26,cool_and_humid
"April 30, 2023 at 04:52AM",Sensor_data,76,26,cool_and_humid
"April 30, 2023 at 05:07AM",Sensor_data,76,26,cool_and_humid
"April 30, 2023 at 05:22AM",Sensor_data,75,26,cool_and_humid
"April 30, 2023 at 05:37AM",Sensor_data,75,26,cool_and_humid
"April 30, 2023 at 05:52AM",Sensor_data,75,26,cool_and_humid
"April 30, 2023 at 06:07AM",Sensor_data,75,26,cool_and_humid
"April 30, 2023 at 06:22AM",Sensor_data,75,26,cool_and_humid
"April 30, 2023 at 06:37AM",Sensor_data,75,26,cool_and_humid
"April 30, 2023 at 06:52AM",Sensor_data,75,26,cool_and_humid
"April 30, 2023 at 07:07AM",Sensor_data,76,26,cool_and_humid
"April 30, 2023 at 07:22AM",Sensor_data,77,26,cool_and_humid
"April 30, 2023 at 07:37AM",Sensor_data,77,26,cool_and_humid
"April 30, 2023 at 07:52AM",Sensor_data,78,26,cool_and_humid
"April 30, 2023 at 08:07AM",Sensor_data,77,26,cool_and_humid
"April 30, 2023 at 08:22AM",Sensor_data,78,26,cool_and_humid
"April 30, 2023 at 08:37AM",Sensor_data,78,26,cool_and_humid
"April 30, 2023 at 08:52AM",Sensor_data,79,26,cool_and_humid
"April 30, 2023 at 09:21AM",Sensor_data,81,26,cool_and_humid
"April 30, 2023 at 09:36AM",Sensor_data,81,26,cool_and_humid
"April 30, 2023 at 09:51AM",Sensor_data,81,26,cool_and_humid
"April 30, 2023 at 10:06AM",Sensor_data,82,26,cool_and_humid
"April 30, 2023 at 10:21AM",Sensor_data,81,26,cool_and_humid
"April 30, 2023 at 10:36AM",Sensor_data,81,26,cool_and_humid
"April 30, 2023 at 10:51AM",Sensor_data,81,26,cool_and_humid
"April 30, 2023 at 11:06AM",Sensor_data,82,26,cool_and_humid
"April 30, 2023 at 11:21AM",Sensor_data,82,26,cool_and_humid
"April 30, 2023 at 11:36AM",Sensor_data,83,25,cool_and_humid
"April 30, 2023 at 11:51AM",Sensor_data,83,25,cool_and_humid
"April 30, 2023 at 12:06PM",Sensor_data,84,25,cool_and_humid
"April 30, 2023 at 12:21PM",Sensor_data,86,26,cool_and_humid
"April 30, 2023 at 12:36PM",Sensor_data,85,26,cool_and_humid
"April 30, 2023 at 12:51PM",Sensor_data,84,26,cool_and_humid
"April 30, 2023 at 01:06PM",Sensor_data,84,26,cool_and_humid
"April 30, 2023 at 01:21PM",Sensor_data,83,26,cool_and_humid
"April 30, 2023 at 01:36PM",Sensor_data,83,26,cool_and_humid
"April 30, 2023 at 01:51PM",Sensor_data,83,26,cool_and_humid
"April 30, 2023 at 02:06PM",Sensor_data,83,26,cool_and_humid
"April 30, 2023 at 02:21PM",Sensor_data,83,26,cool_and_humid
"April 30, 2023 at 02:36PM",Sensor_data,82,26,cool_and_humid
"April 30, 2023 at 02:51PM",Sensor_data,82,26,cool_and_humid
